scheme,replicate,outcome,controlled,raw,n,estimator
conditional_support,19,mse_P,0.17737059901465993,0.30771277508840594,512,K_H
conditional_support,19,delta_adapt,0.1359902145489294,0.05858100945857796,512,K_H
conditional_support,20,r2_G,-0.21690141449514197,-0.388313284638537,512,K_H
conditional_support,20,mse_G,0.19270502526292904,0.3707436756846454,512,K_H
conditional_support,20,r2_P,-0.10624172088325837,0.0560092082374887,512,K_H
conditional_support,20,mse_P,0.13911482115677323,0.3211437197445669,512,K_H
conditional_support,20,delta_adapt,0.151668322490015,0.04811981795241529,512,K_H
conditional_support,21,r2_G,-0.24564443357251575,-0.41896193108341634,512,K_H
conditional_support,21,mse_G,0.23476606756617574,0.353541083731017,512,K_H
conditional_support,21,r2_P,-0.1566033376821048,0.03278217304105011,512,K_H
conditional_support,21,mse_P,0.18068117282361154,0.29834583962760786,512,K_H
conditional_support,21,delta_adapt,0.17352840935100308,0.08313315037021778,512,K_H
conditional_support,22,r2_G,-0.2580412933017475,-0.4246324107929642,512,K_H
conditional_support,22,mse_G,0.2448897464837894,0.36374531863334136,512,K_H
conditional_support,22,r2_P,-0.18099606536317964,0.013633452209290346,512,K_H
conditional_support,22,mse_P,0.19411873362058113,0.3085386303944794,512,K_H
conditional_support,22,delta_adapt,0.17927694164063127,0.08561152095421201,512,K_H
conditional_support,23,r2_G,-0.22346060284844527,-0.39427728854098715,512,K_H
conditional_support,23,mse_G,0.1885739605863975,0.3383474739932022,512,K_H
conditional_support,23,r2_P,-0.13166155972122087,0.03963032581453634,512,K_H
conditional_support,23,mse_P,0.14823687000034333,0.28847777620420917,512,K_H
conditional_support,23,delta_adapt,0.1467994687060116,0.07321063789611014,512,K_H
conditional_support,24,r2_G,-0.2628107261590048,-0.41207417087238646,512,K_H
conditional_support,24,mse_G,0.24034499419210126,0.37087564087158537,512,K_H
conditional_support,24,r2_P,-0.1719066501871116,0.03642382211235852,512,K_H
conditional_support,24,mse_P,0.18848473209278904,0.3190216372838489,512,K_H
conditional_support,24,delta_adapt,0.19179065672171294,0.06602854882640391,512,K_H
conditional_support,25,r2_G,-0.2337765074787425,-0.4008911047596159,512,K_H
conditional_support,25,mse_G,0.199953812184571,0.3403330314942608,512,K_H
conditional_support,25,r2_P,-0.15115887964774952,0.021471433292134447,512,K_H
conditional_support,25,mse_P,0.1699393317769309,0.29142321056637027,512,K_H
conditional_support,25,delta_adapt,0.16373714680536958,0.08181573368352388,512,K_H
conditional_support,26,r2_G,-0.20776291470685845,-0.3937378048431581,512,K_H
conditional_support,26,mse_G,0.19877703319371487,0.36466093887687256,512,K_H
conditional_support,26,r2_P,-0.1352513525537588,0.053483988223984626,512,K_H
conditional_support,26,mse_P,0.15616667238873438,0.31354651254277244,512,K_H
conditional_support,26,delta_adapt,0.12494349458120185,0.05101473718542933,512,K_H
conditional_support,27,r2_G,-0.22577267583914123,-0.3952470896133026,512,K_H
